"","department_descr","product_group_descr","product_module_descr","new_label"
"198","DRY GROCERY","FRUIT - CANNED","PIE & PASTRY FILLING - CANNED","Canned fruit"
"199","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - APPLE SAUCE","Canned fruit"
"200","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - APPLES","Canned fruit"
"201","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT-APRICOTS","Canned fruit"
"202","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - BERRIES","Canned fruit"
"203","DRY GROCERY","FRUIT - CANNED","CRANBERRIES - SHELF STABLE","Canned fruit"
"204","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - FIGS","Canned fruit"
"205","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT-FRUIT COCKTAIL","Canned fruit"
"206","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - FRUIT MIXES & SALAD FRUITS","Canned fruit"
"207","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT-GRAPEFRUIT","Canned fruit"
"208","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - ORANGES","Canned fruit"
"209","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - PEACHES - FREESTONE","Canned fruit"
"210","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT-PEACHES-CLING","Canned fruit"
"211","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT-PEARS","Canned fruit"
"212","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - PINEAPPLE","Canned fruit"
"213","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - GRAPES","Canned fruit"
"214","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT-CHERRIES","Canned fruit"
"215","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT-PLUMS","Canned fruit"
"216","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - PRUNES","Canned fruit"
"217","DRY GROCERY","FRUIT - CANNED","CANNED FRUIT - REMAINING","Canned fruit"
"218","DRY GROCERY","FRUIT - CANNED","PUMPKIN-CANNED","Canned fruit"
"219","DRY GROCERY","FRUIT - CANNED","MINCEMEAT-CANNED","Canned fruit"
"220","DRY GROCERY","FRUIT - CANNED","CHERRIES-MARASCHINO","Canned fruit"
"221","DRY GROCERY","FRUIT - CANNED","PERISHABLE PIE FILLING","Canned fruit"
"222","DRY GROCERY","FRUIT - DRIED","PRUNES-DRIED","Canned fruit"
"223","DRY GROCERY","FRUIT - DRIED","RAISINS","Canned fruit"
"224","DRY GROCERY","FRUIT - DRIED","FRUIT-DRIED AND SNACKS","Canned fruit"
"225","DRY GROCERY","FRUIT - DRIED","DATES","Canned fruit"
"226","DRY GROCERY","FRUIT - DRIED","PERISHABLE DRIED FRUIT","Canned fruit"
"227","GENERAL MERCHANDISE","GLASSWARE, TABLEWARE","RBC DRINKWARE CONTAINER AND SET","Canned fruit"
"228","GENERAL MERCHANDISE","GLASSWARE, TABLEWARE","WOODEN & PLASTIC UTENSILS","Canned fruit"
"229","GENERAL MERCHANDISE","GLASSWARE, TABLEWARE","DINNERWARE","Canned fruit"
"230","GENERAL MERCHANDISE","GLASSWARE, TABLEWARE","CANDLE AND CANDLE IN HOLDER","Canned fruit"
"231","GENERAL MERCHANDISE","GLASSWARE, TABLEWARE","DRINKWARE CONTAINER SET","Canned fruit"
"232","DRY GROCERY","VEGETABLES - CANNED","VEGETABLES-ARTICHOKES-CANNED","Canned vegetables"
"233","DRY GROCERY","VEGETABLES - CANNED","VEGETABLES-ASPARAGUS-SHELF STABLE","Canned vegetables"
"234","DRY GROCERY","VEGETABLES - CANNED","VEGETABLES-BEANS-GREEN-CANNED","Canned vegetables"
"235","DRY GROCERY","VEGETABLES - CANNED","VEGETABLES-BEANS-WAXED-CANNED","Canned vegetables"
"236","DRY GROCERY","VEGETABLES - CANNED","VEGETABLES-BEANS-WHITE/NORTHERN/NAVY-CANNED","Canned vegetables"
"237","DRY GROCERY","VEGETABLES - CANNED","VEGETABLES-BEANS-VEGETARIAN-SHELF STABLE","Canned vegetables"
